Handle,Wallet,IsVerified,TweetTimestamp,CommentText,TweetURL
"@Web3Balo","6yYouEdVuDLuzuQH66dQHYsg6Jfwn4xv1UFiQzprG4fc","TRUE","2026-08-11T17:33:00.000Z","Bro you guys are so much we dont know real from fake but anyways I'd drop and see :)  6yYouEdVuDLuzuQH66dQHYsg6Jfwn4xv1UFiQzprG4fc",""
"@JamesHam1146042","3QNpChCy1E1YQz4U1UwHvtjAbjfTT2UkpbyvxMBWsrHQ","TRUE","2026-08-11T17:45:00.000Z","3QNpChCy1E1YQz4U1UwHvtjAbjfTT2UkpbyvxMBWsrHQ",""
"@Pokesol11","8LdSFpzFKrrVZk6fKdn4BetMPPZKeRVMFjt6RQAnSDRF","TRUE","2026-08-11T19:00:00.000Z","Would love to be one of the two 🫡 Been supporting the journey and would put the $ANSEM to good use  8LdSFpzFKrrVZk6fKdn4BetMPPZKeRVMFjt6RQAnSDRF",""
"@911Caffe","7UsvTrM8dCHLvFJQBwrxkki5nmYAxAAraaNwaA6p4zUU","TRUE","2026-08-11T17:35:00.000Z","SEND IT 🔥🔥 Here for the culture and the bag  LETS GOOO RAD 🔥  7UsvTrM8dCHLvFJQBwrxkki5nmYAxAAraaNwaA6p4zUU",""
"@Father000x","8QKRvM8TT2ysLPEt5yCr7h4eALJR5w1m48YTSGm6GeAd","FALSE","2026-08-11T21:02:00.000Z","Being a father of 2 beautiful kids. This is a big help from us. My income is not enough to support my kids this school year. it means a lot to me as a father to win this.  Thank you! May you always win in your life legend @RadTrades_  8QKRvM8TT2ysLPEt5yCr7h4eALJR5w1m48YTSGm6GeAd",""
"@acethegre4t","J6Hkid79GqfhtYMKReJXswJrYDkEBqSV5pq9JGATScca","TRUE","2026-08-11T17:09:00.000Z","I VOLUNTEER MYSELF.  MY WALLET IS TIRED BEING O. OO  J6Hkid79GqfhtYMKReJXswJrYDkEBqSV5pq9JGATScca",""
"@MoeeR87","84bnVgRSQjfvSjyaMWUpPxYcVuGnjAfxpNKyFhB6y7Tg","TRUE","2026-08-11T19:06:00.000Z","would love to have some $ANSEM   84bnVgRSQjfvSjyaMWUpPxYcVuGnjAfxpNKyFhB6y7Tg",""
"@mosope03","99sRKkXbS3xP9cgabiq1bxvFvmeR1fSMnt3rWvaLbjED","TRUE","2026-08-11T17:44:00.000Z","I show up daily, does that makes the cut ?   99sRKkXbS3xP9cgabiq1bxvFvmeR1fSMnt3rWvaLbjED",""
"@dpXmaki","AWc8qV1d1afYV6QP5gEECxnZNQwomGfGefTpKh2ScpZ3","TRUE","2026-08-11T17:04:00.000Z","thank you Rad, I've been active yeah  AWc8qV1d1afYV6QP5gEECxnZNQwomGfGefTpKh2ScpZ3",""
"@BENOY017","6vXUmnJMKwaiEH85uJQXtZ353o3UBR4yVv18MzqvRhGR","TRUE","2026-08-11T17:28:00.000Z","Bro @RadTrades_  I have nvr receive any $ANSEM to my wallet can u pls change that plssss🙏🙏  6vXUmnJMKwaiEH85uJQXtZ353o3UBR4yVv18MzqvRhGR",""
"@cheesetiano","HW6Rbhu14i6fE88RoqhHQq7SPFj2C6jvtzs3UtLzKzwj","TRUE","2026-08-11T17:09:00.000Z","That’s so rad of you   HW6Rbhu14i6fE88RoqhHQq7SPFj2C6jvtzs3UtLzKzwj",""
"@dagecrypto","87ioPtFcvoLwCVmoxxsgEtykKiATcngHZd9uNC3g3qYz","TRUE","2026-08-11T17:14:00.000Z","I would be kinda chic if I held 1000 $ANSEM   87ioPtFcvoLwCVmoxxsgEtykKiATcngHZd9uNC3g3qYz",""
