Handle,Wallet,Balance_SOL,Tx_Count,Wallet_Created,Holds_Token,RiskScore,RiskLevel,Verified,Timestamp,Comment,Reasons
@SirSea420,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,0.0000,0,Unknown,Not Checked,80,HIGH,False,2026-08-11 18:41:00,May I hold some solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump   BfS7udQwoNktH7wXp1yTFgaSC4erqdB7C9KhsJgqevSt,"Wallet shared across 7 accounts: @amigo_4l, @ansemholic, @girlhappi0, @kwinkys, @pupftsx, @siege4tw, @sirsea420"
@Amigo_4l,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,0.0000,0,Unknown,Not Checked,70,HIGH,True,2026-08-11 22:32:00,Let’s go win some solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump   need some to add to my bag king   Q4PTsGKXfxV2W24kwbT4Le2Froa1NKSGz7WhNVMkSNe,"Wallet shared across 7 accounts: @amigo_4l, @ansemholic, @girlhappi0, @kwinkys, @pupftsx, @siege4tw, @sirsea420 | Verified account"
@pupftsx,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,0.0000,0,Unknown,Not Checked,70,HIGH,True,2026-08-11 16:54:00,Holding my bags. Hope I will win and this is going to help me in growing my bag.   solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump To Billions thank you  3GrXmxBvZvVgddEatsXzGeEs2wPzz6fSWhMfZQQ5Nv8G,"Wallet shared across 7 accounts: @amigo_4l, @ansemholic, @girlhappi0, @kwinkys, @pupftsx, @siege4tw, @sirsea420 | Verified account"
@ansemholic,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,0.0000,0,Unknown,Not Checked,70,HIGH,True,2026-08-11 16:40:00,I Loyal Bagworker solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump 🎒 I Work hard &  Shill solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump all the time  I have always been active on your page from the very beginning.  Eovxr6owt9GcroN7fD3b1y4cP7bF8kc9ymziVGyGqTB2  Thank you Goat 🐐 @RadTrades_ 🙏,"Wallet shared across 7 accounts: @amigo_4l, @ansemholic, @girlhappi0, @kwinkys, @pupftsx, @siege4tw, @sirsea420 | Verified account"
@girlhappi0,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,0.0000,0,Unknown,Not Checked,70,HIGH,True,2026-08-11 17:47:00,thank you rad i’m just a girl that’d love to hold solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump   BQeWzXg6JAbqDaSMuYete1XfcPp76ugtgTkdMy4HxTM4,"Wallet shared across 7 accounts: @amigo_4l, @ansemholic, @girlhappi0, @kwinkys, @pupftsx, @siege4tw, @sirsea420 | Verified account"
@siege4tw,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,0.0000,0,Unknown,Not Checked,70,HIGH,True,2026-08-11 17:20:00,Would love some solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump   Thank you @RadTrades_   CSYrD2vmyMkYfwbyAYm7d7A426iKoJiv7nZSTL7ERxyc,"Wallet shared across 7 accounts: @amigo_4l, @ansemholic, @girlhappi0, @kwinkys, @pupftsx, @siege4tw, @sirsea420 | Verified account"
@Jimmyyweb3,FHJBUTs3YwNFRX4WAKBFArjX6vCpFeZwqYV1q6HhjmzV,0.0000,76,2026-07-12 10:49:04,Yes,70,HIGH,True,2026-08-11 18:32:00,FHJBUTs3YwNFRX4WAKBFArjX6vCpFeZwqYV1q6HhjmzV,"Wallet shared across 2 accounts: @godwillinq, @jimmyyweb3 | Verified account"
@jegersthh,7a1eNA69LqMNPrF33fuQixxKzDB3yWC5L2fnxxoNDTSN,0.0000,2,2026-07-08 23:19:55,No,90,HIGH,False,2026-08-12 09:20:00,7a1eNA69LqMNPrF33fuQixxKzDB3yWC5L2fnxxoNDTSN,"Wallet shared across 2 accounts: @gazaliir, @jegersthh | Duplicate comment used by 2 accounts | Highly similar comment (100%)"
@Godwillinq,FHJBUTs3YwNFRX4WAKBFArjX6vCpFeZwqYV1q6HhjmzV,0.0000,76,2026-07-12 10:49:04,Yes,70,HIGH,True,2026-08-11 16:43:00,"been supporting rad , hoping the universe would make my wish come through by getting my first win from you , thank you and also 41 days of bagworking $ansem with 268 posts   FHJBUTs3YwNFRX4WAKBFArjX6vCpFeZwqYV1q6HhjmzV","Wallet shared across 2 accounts: @godwillinq, @jimmyyweb3 | Verified account"
@kwinkys,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,0.0000,0,Unknown,Not Checked,70,HIGH,True,2026-08-11 16:54:00,Lets goo for solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump   EyvU8b95EkwxxRhKT6USqFiejpV1LDgLvMhdkVHqTMN,"Wallet shared across 7 accounts: @amigo_4l, @ansemholic, @girlhappi0, @kwinkys, @pupftsx, @siege4tw, @sirsea420 | Verified account"
@Gazaliir,7a1eNA69LqMNPrF33fuQixxKzDB3yWC5L2fnxxoNDTSN,0.0000,2,2026-07-08 23:19:55,No,90,HIGH,False,2026-08-12 00:03:00,7a1eNA69LqMNPrF33fuQixxKzDB3yWC5L2fnxxoNDTSN,"Wallet shared across 2 accounts: @gazaliir, @jegersthh | Duplicate comment used by 2 accounts | Highly similar comment (100%)"
