Handle,Wallet,Balance_SOL,Tx_Count,Wallet_Created,Holds_Token,RiskScore,RiskLevel,Verified,Timestamp,Comment,Reasons
@Web3Balo,6yYouEdVuDLuzuQH66dQHYsg6Jfwn4xv1UFiQzprG4fc,0.0000,18,2025-04-15 07:09:49,No,0,LOW,True,2026-08-11 17:33:00,Bro you guys are so much we dont know real from fake but anyways I'd drop and see :)  6yYouEdVuDLuzuQH66dQHYsg6Jfwn4xv1UFiQzprG4fc,Verified account
@JamesHam1146042,3QNpChCy1E1YQz4U1UwHvtjAbjfTT2UkpbyvxMBWsrHQ,0.0000,0,Unknown,No,0,LOW,True,2026-08-11 17:45:00,3QNpChCy1E1YQz4U1UwHvtjAbjfTT2UkpbyvxMBWsrHQ,Verified account
@Pokesol11,8LdSFpzFKrrVZk6fKdn4BetMPPZKeRVMFjt6RQAnSDRF,0.0000,1,2026-07-16 10:27:46,No,0,LOW,True,2026-08-11 19:00:00,Would love to be one of the two 🫡 Been supporting the journey and would put the $ANSEM to good use  8LdSFpzFKrrVZk6fKdn4BetMPPZKeRVMFjt6RQAnSDRF,Verified account
@911Caffe,7UsvTrM8dCHLvFJQBwrxkki5nmYAxAAraaNwaA6p4zUU,0.0000,100,2026-05-26 03:36:59,No,0,LOW,True,2026-08-11 17:35:00,SEND IT 🔥🔥 Here for the culture and the bag  LETS GOOO RAD 🔥  7UsvTrM8dCHLvFJQBwrxkki5nmYAxAAraaNwaA6p4zUU,Verified account
@Father000x,8QKRvM8TT2ysLPEt5yCr7h4eALJR5w1m48YTSGm6GeAd,0.0009,73,2024-06-09 12:13:08,No,0,LOW,False,2026-08-11 21:02:00,Being a father of 2 beautiful kids. This is a big help from us. My income is not enough to support my kids this school year. it means a lot to me as a father to win this.  Thank you! May you always win in your life legend @RadTrades_  8QKRvM8TT2ysLPEt5yCr7h4eALJR5w1m48YTSGm6GeAd,
@acethegre4t,J6Hkid79GqfhtYMKReJXswJrYDkEBqSV5pq9JGATScca,0.0000,0,Unknown,No,0,LOW,True,2026-08-11 17:09:00,I VOLUNTEER MYSELF.  MY WALLET IS TIRED BEING O. OO  J6Hkid79GqfhtYMKReJXswJrYDkEBqSV5pq9JGATScca,Verified account
@MoeeR87,84bnVgRSQjfvSjyaMWUpPxYcVuGnjAfxpNKyFhB6y7Tg,0.0000,0,Unknown,No,0,LOW,True,2026-08-11 19:06:00,would love to have some $ANSEM   84bnVgRSQjfvSjyaMWUpPxYcVuGnjAfxpNKyFhB6y7Tg,Verified account
@mosope03,99sRKkXbS3xP9cgabiq1bxvFvmeR1fSMnt3rWvaLbjED,0.0000,100,2026-06-04 22:11:46,No,0,LOW,True,2026-08-11 17:44:00,"I show up daily, does that makes the cut ?   99sRKkXbS3xP9cgabiq1bxvFvmeR1fSMnt3rWvaLbjED",Verified account
@dpXmaki,AWc8qV1d1afYV6QP5gEECxnZNQwomGfGefTpKh2ScpZ3,0.0015,100,2026-08-03 20:24:00,No,0,LOW,True,2026-08-11 17:04:00,"thank you Rad, I've been active yeah  AWc8qV1d1afYV6QP5gEECxnZNQwomGfGefTpKh2ScpZ3",Verified account
@BENOY017,6vXUmnJMKwaiEH85uJQXtZ353o3UBR4yVv18MzqvRhGR,0.0200,3,2026-07-09 07:18:10,No,0,LOW,True,2026-08-11 17:28:00,Bro @RadTrades_  I have nvr receive any $ANSEM to my wallet can u pls change that plssss🙏🙏  6vXUmnJMKwaiEH85uJQXtZ353o3UBR4yVv18MzqvRhGR,Verified account
