Handle,Wallet,Balance_SOL,Tx_Count,Wallet_Created,Holds_Token,RiskScore,RiskLevel,Verified,Timestamp,Comment,Reasons
@Father000x,8QKRvM8TT2ysLPEt5yCr7h4eALJR5w1m48YTSGm6GeAd,0.0009,73,2024-06-09 12:13:08,No,0,LOW,False,2026-08-11 21:02:00,Being a father of 2 beautiful kids. This is a big help from us. My income is not enough to support my kids this school year. it means a lot to me as a father to win this.  Thank you! May you always win in your life legend @RadTrades_  8QKRvM8TT2ysLPEt5yCr7h4eALJR5w1m48YTSGm6GeAd,
@dpXmaki,AWc8qV1d1afYV6QP5gEECxnZNQwomGfGefTpKh2ScpZ3,0.0015,100,2026-08-03 20:24:00,No,0,LOW,True,2026-08-11 17:04:00,"thank you Rad, I've been active yeah  AWc8qV1d1afYV6QP5gEECxnZNQwomGfGefTpKh2ScpZ3",Verified account
@BENOY017,6vXUmnJMKwaiEH85uJQXtZ353o3UBR4yVv18MzqvRhGR,0.0200,3,2026-07-09 07:18:10,No,0,LOW,True,2026-08-11 17:28:00,Bro @RadTrades_  I have nvr receive any $ANSEM to my wallet can u pls change that plssss🙏🙏  6vXUmnJMKwaiEH85uJQXtZ353o3UBR4yVv18MzqvRhGR,Verified account
@dagecrypto,87ioPtFcvoLwCVmoxxsgEtykKiATcngHZd9uNC3g3qYz,0.1652,32,2026-07-12 03:31:02,Yes,0,LOW,True,2026-08-11 17:14:00,I would be kinda chic if I held 1000 $ANSEM   87ioPtFcvoLwCVmoxxsgEtykKiATcngHZd9uNC3g3qYz,Verified account
@organicryptoyyc,C4ywHK4KzM3acJv7igwfk4ddi77oUhBinZ2N8tuVEk1z,0.0031,3,2026-07-05 21:38:00,Yes,0,LOW,True,2026-08-12 01:43:00,C4ywHK4KzM3acJv7igwfk4ddi77oUhBinZ2N8tuVEk1z Gave ya a follow fren,Verified account
@Aventis7,7LE6tF5jAwX8C5fYQNWPZXzZcWbzToCoMczHFHstqD4M,0.0019,100,2024-04-02 15:50:37,No,0,LOW,True,2026-08-11 20:19:00,7LE6tF5jAwX8C5fYQNWPZXzZcWbzToCoMczHFHstqD4M,Verified account
@FridjofMenting,7vfk4zN8zTvUs9kdartXLJywNTL3WaSvjHF1aL2f2mkt,0.3622,100,2026-07-10 08:17:32,Yes,0,LOW,True,2026-08-11 16:50:00,7vfk4zN8zTvUs9kdartXLJywNTL3WaSvjHF1aL2f2mkt $ANSEM time,Verified account
@Lingard010,FFAq76erc5eBK4peZKjFjJwV5DHpFUjxVF5L2BdRBNQ3,0.0010,6,2026-07-16 17:57:16,No,0,LOW,True,2026-08-11 16:46:00,"If luck is a numbers game, I’m definitely putting in the reps  FFAq76erc5eBK4peZKjFjJwV5DHpFUjxVF5L2BdRBNQ3",Verified account
@dasaniCR,EowmiXvP33byMSYHuvp35sNCUbWhn2XgQoV99j4qGJvq,0.0010,100,2026-08-03 23:32:44,No,0,LOW,False,2026-08-11 16:51:00,EowmiXvP33byMSYHuvp35sNCUbWhn2XgQoV99j4qGJvq,
@Willlyy11,7Vk43bDRWduxfK5Mpx6LR8a3fV2TjY86DPD7SRRHu94Z,0.0010,100,2025-10-23 07:02:25,No,0,LOW,True,2026-08-11 17:07:00,7Vk43bDRWduxfK5Mpx6LR8a3fV2TjY86DPD7SRRHu94Z   Thank you Rad,Verified account
@____danerous__,AEfRQFaUjoYit274CrdGT5dpw6jcu7VojLEaCewpRYHM,0.0014,62,2025-11-19 13:28:40,No,0,LOW,False,2026-08-11 17:26:00,AEfRQFaUjoYit274CrdGT5dpw6jcu7VojLEaCewpRYHM  Thanks legend 🙏 🙌🏾,
@mastaeagle,3jWxWgXDnWA8dazRkaLQAJaNDsyAEMB1EycNKb6g6NNC,0.0151,100,2026-02-22 11:38:51,No,0,LOW,True,2026-08-11 17:09:00,3jWxWgXDnWA8dazRkaLQAJaNDsyAEMB1EycNKb6g6NNC,Verified account
@whuttttzzz,KeedNxkMGYYmWiabStWmkrnaG6CR12xjZNY2QZEETp9,0.0050,20,2026-01-09 08:51:08,No,0,LOW,True,2026-08-11 17:35:00,KeedNxkMGYYmWiabStWmkrnaG6CR12xjZNY2QZEETp9,Verified account
